Test Suite ID,Test Case ID,Priority,Module,Summary,Preconditions,Test data,Steps,Expected Result,Remarks
Функциональные проверки,,,,,,,,,
TS-01,TC-01,High,Форма авторизации,Успешная авторизация пользователя с ипользованием валидных данных,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": aleksei123
    
2. Поле ""Пароль"": QAlexey123 
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь авторизован в систему. Отображен личный кабинет пользователя",
TS-02,TC-02,High,Форма авторизации,Повторная успешная авторизация с использованием валидных данных после выхода из аккаунта,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": aleksei123
    
2. Поле ""Пароль"": QAlexey123 
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""
4. Выйти из аккаунта
5. Повторить шаги 1,2,3","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь авторизован в систему. Отображен личный кабинет пользователя",
TS-03,TC-03,High,Форма авторизации,Пароль по умолчанию скрыт (отображаются *),"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": aleksei123
    
2. Поле ""Пароль"": QAlexey123 
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
","1. Введенное значение отображено в поле """"Логин"""";
2. В поле Пароль отобразился текст ******;
",
TS-04,TC-04,High,Форма авторизации,"Отображение пароля текстом при нажатии на иконку ""Показать пароль""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": aleksei123
    
2. Поле ""Пароль"": QAlexey123 
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать на иконку Показать пароль в поле пароля","1. В поле Пароль отображен текст *****
2. В поле Пароль отображен текст QAlexey123 ",
TS-07,TC-07,High,Форма авторизации,"Автоматическое удаление плейсхолдера *плейсхолдер* при вводе данных в поле ""Логин""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
","1. Поле ""Логин"": aleksei123
    
 
   ",1. Ввести данные в поле Логин,Плейсхолдер *плейсхолдер* исчезает при вводе данных в поле Логин,
TS-08,TC-08,High,Форма авторизации,"Автоматическое удаление плейсхолдера *плейсхолдер* при вводе данных в поле ""Пароль""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
","    
1. Поле ""Пароль"": QAlexey123 
   ",1. Ввести данные в поле Пароль,Плейсхолдер *плейсхолдер* исчезает при вводе данных в поле Пароль,
TS-09,TC-09,High,Форма авторизации,Неуспешная авторизация пользователя с ипользованием невалидным данных,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": aleksei123
    
2. Поле ""Пароль"": QAlexey123456 
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле """"Логин"""";
2. Введенное значение отображено в поле """"Пароль"""";
3. Пользователь не авторизован в системе.",
TS-10,TC-10,High,Форма авторизации,Неуспешная авторизация незарегистрированного пользователя,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь не зарегистрирован в системе","1. Поле ""Логин"": aleksei123
    
2. Поле ""Пароль"": QAlexey123 
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле """"Логин"""";
2. Введенное значение отображено в поле """"Пароль"""";
3. Пользователь не авторизован в системе.",
TS-11,TC-11,High,Форма авторизации,"Неуспешная авторизация пользователя c незаполненным полем ""Логин""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": 
    
2. Поле ""Пароль"": QAlexey123 
   ","1. Оставить поле Логин пустым 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле """"Пароль"""";
2. Пользователь не авторизован в системе.
",
TS-12,TC-12,High,Форма авторизации,"Неуспешная авторизация пользователя c незаполненным полем ""Пароль""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": aleksei123
    
2. Поле ""Пароль"": 
   ","1. Оставить поле Пароль пустым
2. Ввести значение из тестовых данных в поле ""Логин""; 
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Пользователь не авторизован в системе.
",
TS-13,TC-13,Low,Форма авторизации,"Сообщение об ошибке при пустом вводе в поле ""Пароль""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": aleksei123
    
2. Поле ""Пароль"": QAlexey123 
   ","1. Ввести валидное значение в поле Логин
2. Навести фокус на поле Пароль
3. Снять фокус с поля Пароль;
4. Нажать кнопку ""Sign in""",Под полем Пароль отображается сообщение Заполните поле пароль,
TS-14,TC-14,Low,Форма авторизации,"Сообщение об ошибке при пустом вводе в поле ""Логин""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": aleksei123
    
2. Поле ""Пароль"": QAlexey123 
   ","1. Ввести валидное значение в поле Пароль
2. Навести фокус на поле Логин
3. Снять фокус с поля Логин;
4. Нажать кнопку ""Sign in""",Под полем Логин отображается сообщение Заполните поле логин,
Нефункциональные проверки,,,,,,,,,
Тестирование пользовательского интерфейса,,,,,,,,,
TS-15,ТС-15,Low,Форма авторизации,"Кнопка ""Sign in"" меняет цвет при наведении курсора ","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,"1. Навести курсор на кнопку ""Sign in""","1. Цвет кнопки ""Sign in"" изменен на цвет согласно требованиям",
TS-16,ТС-16,Low,Форма авторизации,"Поле Логин подсвечивается красной рамкой, если введены невалидные данные или пустой ввод","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,"1. Ввести валидное значение в поле Пароль
2. Навести фокус на поле Логин
3. Снять фокус с поля Логин;
4. Нажать кнопку ""Sign in""",1. Поле Логин подсвечено красной рамкой,
TS-17,ТС-17,Low,Форма авторизации,"Поле Пароль подсвечивается красной рамкой, если введены невалидные данные или пустой ввод","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,"1. Ввести валидное значение в поле Логин
2. Навести фокус на поле Пароль
3. Снять фокус с поля Пароль;
4. Нажать кнопку ""Sign in""",1. Поле Пароль подсвечено красной рамкой,
TS-05,TC-05,Medium,Форма авторизации,Наличие плейсхолдера Введите логин в поле Логин,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
",,,В поле Логин присутствует плейсхолдер Введите логин,
TS-06,TC-06,Medium,Форма авторизации,Наличие плейсхолдера Введите пароль в поле Пароль,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
",,,В поле Пароль присутствует плейсхолдер Введите пароль,
Тестирование производительности,,,,,,,,,
,ТС-17,High,Форма авторизации,Переход в аккаунт полльзователя происходит в течение 2 секунд при одновременной работе 10 пользователей,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Интернет-соединение стабильно",1. Кол-во пользователей - 10 чел,"1. Сымитировать нагрузку на сайт в лице 10 пользователей
2. Запустить нагрузочное тестирование","Переход в личный кабинет пользователя происходит не позднее, чем через 2 секунды при нагрузке с 10 пользователями",
,ТС-18,High,Форма авторизации,Переход в аккаунт полльзователя происходит в течение 2 секунд при одновременной работе 100 пользователей,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Интернет-соединение стабильно",1. Кол-во пользователей - 100 чел,"1. Сымитировать нагрузку на сайт в лице 100 пользователей
2. Запустить нагрузочное тестирование","Переход в личный кабинет пользователя происходит не позднее, чем через 2 секунды при нагрузке с 100 пользователями",
,ТС-19,High,Форма авторизации,Переход в аккаунт полльзователя происходит в течение 2 секунд при одновременной работе 1000 пользователей,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Интернет-соединение стабильно",1. Кол-во пользователей - 1000 чел,"1. Сымитировать нагрузку на сайт в лице 1000 пользователей
2. Запустить нагрузочное тестирование","Переход в личный кабинет пользователя происходит не позднее, чем через 2 секунды при нагрузке с 1000 пользователями",
,ТС-20,High,Форма авторизации,Переход в аккаунт полльзователя происходит в течение 2 секунд при одновременной работе 10000 пользователей,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Интернет-соединение стабильно",1. Кол-во пользователей - 10000 чел,"1. Сымитировать нагрузку на сайт в лице 10000 пользователей
2. Запустить нагрузочное тестирование","Переход в личный кабинет пользователя происходит не позднее, чем через 2 секунды при нагрузке с 10000 пользователями",
,ТС-21,Medium,Форма авторизации,Страница с формой авторизации не закрывается без участия пользователя в течение 2 часов,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Интернет-соединение стабильно",,1. Не предпринимать на странице никаких действий в течение 2 часов,Страница с формой авторизации не закрыта,
Тестирование совместимости,,,,,,,,,
,ТК-1,Medium,Форма авторизации,"Страница с формой авторизации открывается в браузере Chrome (не знаю, нужно ли уточнять версии)","1. Открыть сайт ""Название"" в Chrome",,1. Открыть форму авторизации пользователя в Chrome,Страница с формой авторизации открывается в браузере Chrome,
,ТК-2,Medium,Форма авторизации,Страница с формой авторизации открывается в браузере Firefox,"1. Открыть сайт ""Название"" в Chrome",,1. Открыть форму авторизации пользователя в Firefox,Страница с формой авторизации открывается в браузере Firefox,
,ТК-3,Medium,Форма авторизации,Страница с формой авторизации открывается в браузере Яндекс.Браузер,"1. Открыть сайт ""Название"" в Chrome",,1. Открыть форму авторизации пользователя в Яндекс.Браузер,Страница с формой авторизации открывается в браузере Яндекс.Браузер,
,ТК-4,Medium,Форма авторизации,Страница с формой авторизации открывается в браузере Opera,"1. Открыть сайт ""Название"" в Chrome",,1. Открыть форму авторизации пользователя в Opera,Страница с формой авторизации открывается в браузере Opera,
,ТК-5,High,Форма авторизации,Страница с формой авторизации открывается на устройствах с ОС IOS,"1. Открыть сайт ""Название"" на устройстве с ОС IOS",,1. Открыть форму авторизации пользователя на устройстве с ОС IOS,Страница с формой авторизации открывается на устройствах с ОС IOS,
,ТК-6,High,Форма авторизации,Страница с формой авторизации открывается на устройствах с ОС Android,"1. Открыть сайт ""Название"" на устройстве с ОС Android",,1. Открыть форму авторизации пользователя на устройстве с ОС Android,Страница с формой авторизации открывается на устройствах с ОС Android,
,ТК-7,High,Форма авторизации,Страница с формой авторизации открывается на устройствах с MacОС,"1. Открыть сайт ""Название"" на устройстве с MacOS",,1. Открыть форму авторизации пользователя на устройстве с MacOS,Страница с формой авторизации открывается на устройствах с MacOS,
Тестирование безопасности,,,,,,,,,
,ТК-8,High,Форма авторизации,При открытии формы авторизации не появляется посторонних артефактов на странице,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Интернет-соединение стабильно","1. Поле ""Логин"": aleksei123
    
2. Поле ""Пароль"": QAlexey123 
   ","1. Ввести валидное значение в поле Логин
2. Навести фокус на поле Пароль
3. Снять фокус с поля Пароль;
4. Нажать кнопку ""Sign in""","При открытии формы авторизации не появляется посторонних артефактов на странице (лишние окна, кнопки и т.д.)",
,ТК-9,High,Форма авторизации,Авторизованный пользователь попадает в личный кабинет по кнопке Sign in при вводе валидны данных,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Интернет-соединение стабильно","1. Поле ""Логин"": aleksei123
    
2. Поле ""Пароль"": QAlexey123 
   ","1. Ввести валидное значение в поле Логин
2. Навести фокус на поле Пароль
3. Снять фокус с поля Пароль;
4. Нажать кнопку ""Sign in""",Авторизованный пользователь пперенаправлен в личный кабинет по кнопке Sign in при вводе валидны данных,
,ТК-10,High,Форма авторизации,Посторонние пользователи не могут получить доступ к данным авторизованного пользователя,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Интернет-соединение стабильно","1. Поле ""Логин"": aleksei123
    
2. Поле ""Пароль"": QAlexey123 
   ","1. Ввести валидное значение в поле Логин
2. Навести фокус на поле Пароль
3. Снять фокус с поля Пароль;
4. Нажать кнопку ""Sign in""",Доступ предназначен только для авторизованного пользователя,
,ТК-11,High,Форма авторизации,Пользователь может авторизоваться только со своим логином и паролем,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Интернет-соединение стабильно
4. Зарегистрироваться в системе с двумя парами логина и пароля (пользователь 1 и пользователь 2)","1. Поле ""Логин"": aleksei123
qatest111
    
2. Поле ""Пароль"": QAlexey123 
wewewe123","1. Ввести логин от первого пользователя в поле Логин
2. Ввести пароль от второго пользователя в поле Пароль
3. Нажать кнопку ""Sign in""",Пользователь не авторизован в системе,
Тестирование локализации,,,,,,,,,
,ТК-12,High,Форма авторизации,Страница с формой авторизации открывается корректно на русском языке,"1. Открыть сайт ""Название""",,1. Установить язык - русский язык,Страница с формой авторизации открывается корректно на русском языке,
,ТК-13,High,Форма авторизации,Страница с формой авторизации открывается корректно на английском языке,"1. Открыть сайт ""Название""",,1. Установить язык - английский язык,Страница с формой авторизации открывается корректно на английском языке,
,ТК-14,High,Форма авторизации,Страница с формой авторизации открывается корректно на китайском языке,"1. Открыть сайт ""Название""",,1. Установить язык - китайский язык,Страница с формой авторизации открывается корректно на китайском языке,
,ТК-15,High,Форма авторизации,Страница с формой авторизации открывается корректно на арабском языке,"1. Открыть сайт ""Название""",,1. Установить язык - арабском язык,Страница с формой авторизации открывается корректно на арабском языке,
Тестирование удобства использования,,,,,,,,,
TS-18,ТС-18,Medium,Форма авторизации,Поля ввода Логин и Пароль и кнопка Sign in расположены в одной области формы авторизации,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,"1. Ввести валидное значение в поле Логин
2. Навести фокус на поле Пароль
3. Снять фокус с поля Пароль;
4. Нажать кнопку ""Sign in""",Поля ввода Логин и Пароль и кнопка Sign in расположены в одной области формы авторизации,
